town,lat,lon,pharmacies,parks,fetched_at,leisure_centres,gyms,community_centres,bus_stops,gp_surgeries,county,care_score,green_score,active_score,social_score,mobility_score,overall_score
Hastings,50.8544,0.5728,5,16,2026-03-01 06:11:26,5,3,9,93,5,East Sussex,29.4,23.4,16.0,39.1,18.3,25.3
Folkestone,51.0814,1.1797,4,20,2026-03-01 06:09:48,7,7,4,136,2,Kent,23.5,29.7,27.3,17.4,27.0,25.0
Farnham,51.2147,-0.7997,3,16,2026-03-01 06:09:35,4,6,9,122,4,Surrey,17.6,23.4,19.0,39.1,24.2,24.7
Clacton-on-Sea,51.7894,1.1489,8,1,2026-03-01 06:06:35,9,3,5,135,7,Essex,47.1,0.0,24.7,21.7,26.8,24.1
Chippenham,51.4581,-2.1158,4,31,2026-03-01 06:06:03,7,5,3,69,4,Wiltshire,23.5,46.9,23.8,13.0,13.4,24.1
Weymouth,50.6139,-2.4558,8,15,2026-03-01 06:30:42,5,1,5,85,7,Dorset,47.1,21.9,12.6,21.7,16.7,24.0
Great Yarmouth,52.6089,1.7306,8,10,2026-03-01 06:11:13,1,2,5,129,4,Norfolk,47.1,14.1,5.6,21.7,25.6,22.8
Melton Mowbray,52.7667,-0.8833,5,17,2026-03-01 06:18:21,5,0,5,121,3,Leicestershire,29.4,25.0,10.9,21.7,24.0,22.2
Bridgwater,51.1278,-3.0028,8,12,2026-03-01 06:03:39,6,3,3,78,6,Somerset,47.1,17.2,18.2,13.0,15.2,22.1
Devizes,51.3497,-1.9958,3,29,2026-03-01 06:07:52,2,4,5,62,2,Wiltshire,17.6,43.8,11.2,21.7,12.0,21.3
Weston-super-Mare,51.3461,-2.9769,4,14,2026-03-01 06:28:40,2,2,3,208,1,North Somerset,23.5,20.3,7.8,13.0,41.7,21.3
Poole,50.7184,-1.981,4,15,2026-03-01 06:00:14,1,2,4,186,7,Dorset,23.5,21.9,5.6,17.4,37.2,21.1
Lichfield,52.681,-1.8262,3,23,2026-03-01 06:00:10,2,2,4,138,0,Staffordshire,17.6,34.4,7.8,17.4,27.4,20.9
Cockermouth,54.6622,-3.3622,3,9,2026-03-01 06:06:50,5,2,10,82,2,Cumbria,17.6,12.5,14.3,43.5,16.1,20.8
Cirencester,51.7194,-1.9697,4,8,2026-03-01 06:06:23,4,11,4,119,5,Gloucestershire,23.5,10.9,27.7,17.4,23.6,20.6
Tunbridge Wells,51.1322,0.2625,3,14,2026-03-01 06:27:15,2,2,5,170,1,Kent,17.6,20.3,7.8,21.7,33.9,20.3
Godalming,51.1856,-0.6147,4,12,2026-03-01 06:10:49,2,4,6,118,3,Surrey,23.5,17.2,11.2,26.1,23.4,20.3
Broadstairs,51.3583,1.4394,5,11,2026-03-01 06:03:59,3,0,4,155,2,Kent,29.4,15.6,6.5,17.4,30.9,20.0
Beverley,53.8456,-0.4297,5,17,2026-03-01 06:02:12,4,0,4,80,6,East Yorkshire,29.4,25.0,8.7,17.4,15.7,19.2
Nantwich,53.0675,-2.5211,4,10,2026-03-01 06:18:58,5,0,5,131,0,Cheshire,23.5,14.1,10.9,21.7,26.0,19.2
Skipton,53.9619,-2.0167,5,16,2026-03-01 06:24:41,4,3,4,48,3,North Yorkshire,29.4,23.4,13.9,17.4,9.1,18.7
Falmouth,50.15,-5.07,3,25,2026-03-01 06:09:05,3,1,2,103,3,Cornwall,17.6,37.5,8.2,8.7,20.3,18.5
Whitby,54.4858,-0.6206,4,8,2026-03-01 06:31:25,1,0,11,40,1,North Yorkshire,23.5,10.9,2.2,47.8,7.5,18.4
Totnes,50.4312,-3.6846,3,19,2026-03-01 06:00:52,1,0,6,87,0,Devon,17.6,28.1,2.2,26.1,17.1,18.2
Penrith,54.6642,-2.7547,2,12,2026-03-01 06:19:52,1,4,8,73,2,Cumbria,11.8,17.2,9.1,34.8,14.2,17.4
Saffron Walden,52.0225,0.2431,2,32,2026-03-01 06:22:28,1,2,2,63,2,Essex,11.8,48.4,5.6,8.7,12.2,17.3
Dover,51.1279,1.3134,3,6,2026-03-01 06:08:17,2,3,4,153,4,Kent,17.6,7.8,9.5,17.4,30.5,16.6
Minehead,51.2039,-3.4728,5,12,2026-03-01 06:18:37,5,1,5,13,1,Somerset,29.4,17.2,12.6,21.7,2.0,16.6
Marlborough,51.4219,-1.7292,3,14,2026-03-01 06:17:36,6,1,4,65,1,Wiltshire,17.6,20.3,14.8,17.4,12.6,16.5
Maldon,51.7314,0.6761,3,8,2026-03-01 06:14:37,2,1,5,126,5,Essex,17.6,10.9,6.1,21.7,25.0,16.3
Truro,50.2632,-5.051,2,14,2026-03-01 06:00:53,3,2,2,154,2,Cornwall,11.8,20.3,10.0,8.7,30.7,16.3
Windermere,54.38,-2.905,3,8,2026-03-01 06:32:39,5,2,6,65,2,Cumbria,17.6,10.9,14.3,26.1,12.6,16.3
Knaresborough,54.0086,-1.4672,4,18,2026-03-01 06:13:22,2,2,4,31,3,North Yorkshire,23.5,26.6,7.8,17.4,5.7,16.2
Stamford,52.6519,-0.4804,4,7,2026-03-01 06:25:08,7,3,1,109,3,Lincolnshire,23.5,9.4,20.4,4.3,21.5,15.8
